answers_count;date_time;time_difference;solution;len;wordcount
7;'2008-08-06 08:02:10';579;False;616;99
7;'2008-08-06 08:08:20';949;False;785;131
7;'2008-08-07 12:14:49';102138;False;266;42
7;'2008-08-08 07:46:19';172428;False;508;87
7;'2008-08-16 17:41:20';899329;False;751;119
7;'2008-08-18 18:48:30';1076159;True;365;48
7;'2013-07-15 20:07:20';155909689;False;1021;185
9;'2008-08-07 04:04:55';1088;False;129;25
9;'2008-08-07 04:20:47';2040;True;141;12
9;'2008-08-07 04:25:22';2315;False;126;16
9;'2008-08-07 05:05:34';4727;False;602;91
9;'2008-08-07 19:20:00';55993;False;708;110
9;'2008-08-08 23:17:12';156625;False;1250;205
9;'2008-09-09 22:49:56';2919789;False;381;52
9;'2008-09-18 14:28:50';3667323;False;684;113
9;'2012-02-10 19:00:40';110819633;False;601;49
1;'2008-08-08 05:46:48';636;False;529;90
4;'2008-08-12 11:23:28';541;False;799;147
4;'2008-08-13 01:34:06';51579;False;525;97
4;'2008-08-14 17:37:54';195807;False;1756;213
4;'2008-09-22 04:02:03';3516456;True;651;108
2;'2008-08-13 16:35:51';355;False;156;21
2;'2008-08-13 16:54:08';1452;False;174;17
3;'2008-08-14 03:08:02';1704;False;281;50
3;'2008-08-14 03:21:02';2484;False;706;129
3;'2008-08-15 04:24:56';92718;True;65;13
8;'2008-08-18 13:47:41';326360;True;2809;339
8;'2009-03-29 02:12:51';19551870;False;440;76
8;'2010-06-01 00:38:22';56611801;False;196;32
8;'2010-06-01 08:59:49';56641888;False;157;26
8;'2010-06-01 21:19:14';56686253;False;443;72
8;'2011-01-25 09:50:51';77208150;False;950;144
8;'2011-08-20 16:57:40';95118559;False;7092;721
8;'2012-04-02 15:43:35';114640514;False;786;139
10;'2008-08-16 05:23:09';1080;True;551;102
10;'2008-08-16 05:27:22';1333;False;796;124
10;'2008-08-16 05:34:03';1734;False;239;46
10;'2008-08-16 06:58:31';6802;False;52;10
10;'2008-08-16 08:44:31';13162;False;63;12
10;'2008-08-16 09:26:18';15669;False;212;36
10;'2008-08-16 11:21:08';22559;False;1202;213
10;'2008-09-09 22:59:23';2138054;False;671;112
10;'2008-09-10 09:13:12';2174883;False;485;90
10;'2010-12-13 20:03:44';73407515;False;304;62
2;'2008-08-17 14:52:09';249;True;464;74
2;'2008-08-17 17:36:21';10101;False;832;144
5;'2008-08-18 19:47:19';340;False;832;154
5;'2008-08-18 19:47:42';363;False;117;19
5;'2008-08-18 19:50:18';519;True;311;61
5;'2008-08-18 19:50:22';523;False;876;143
5;'2008-08-18 20:29:14';2855;False;378;56
91;'2008-08-19 01:51:22';919;False;32;4
91;'2008-08-19 02:03:53';1670;False;127;22
91;'2008-08-19 02:06:42';1839;False;395;44
91;'2008-08-19 16:47:35';54692;False;534;85
91;'2008-08-19 20:09:17';66794;False;585;85
91;'2008-08-20 10:07:43';117100;False;190;38
91;'2008-08-20 11:30:49';122086;False;483;96
91;'2008-08-29 19:17:46';927703;False;239;35
91;'2008-08-29 19:29:40';928417;False;722;112
91;'2008-08-29 19:36:48';928845;False;151;27
91;'2008-09-02 12:57:04';1250461;False;403;73
91;'2008-09-03 00:33:17';1292234;False;258;42
91;'2008-09-03 01:29:39';1295616;False;155;29
91;'2008-09-03 21:51:46';1368943;False;592;100
91;'2008-09-04 15:55:03';1433940;False;224;46
91;'2008-09-06 09:07:16';1582273;False;367;63
91;'2008-09-06 14:27:50';1601507;False;1216;144
91;'2008-09-08 13:24:57';1770534;False;55;10
91;'2008-09-08 16:38:47';1782164;False;88;12
91;'2008-09-09 21:10:31';1884868;False;358;56
91;'2008-09-10 17:20:11';1957448;False;122;23
91;'2008-09-11 01:15:19';1985956;False;157;27
91;'2008-09-11 02:09:12';1989189;False;114;14
91;'2008-09-15 15:50:33';2384070;False;63;13
91;'2008-09-15 15:55:15';2384352;False;153;20
91;'2008-09-15 16:08:02';2385119;False;345;53
91;'2008-09-15 16:19:57';2385834;False;212;35
91;'2008-09-15 16:49:51';2387628;False;473;62
91;'2008-09-16 18:35:19';2480356;False;667;112
91;'2008-09-16 20:01:59';2485556;False;244;47
91;'2008-09-17 11:39:29';2541806;False;399;58
91;'2008-09-17 13:23:06';2548023;False;131;22
91;'2008-09-17 17:37:59';2563316;False;683;101
91;'2008-09-19 13:02:49';2719606;False;699;90
91;'2008-09-19 13:35:12';2721549;False;776;94
91;'2008-09-24 19:37:07';3175264;False;833;146
91;'2008-09-26 03:30:29';3290066;False;644;98
91;'2008-09-26 13:06:23';3324620;False;223;25
91;'2008-09-27 01:11:17';3368114;False;891;125
91;'2008-09-28 15:45:22';3506959;False;232;36
91;'2008-10-03 21:59:37';3961414;False;519;85
91;'2008-10-06 18:14:51';4207128;False;626;115
91;'2008-10-23 14:18:16';5661733;False;289;41
91;'2008-10-27 00:03:39';5956056;False;122;12
91;'2008-10-27 00:12:44';5956601;False;1337;135
91;'2008-11-03 17:02:46';6622003;False;357;60
91;'2008-11-12 16:59:39';7399416;False;388;67
91;'2008-11-20 20:19:01';8102578;False;83;11
91;'2008-11-26 19:04:22';8616499;False;211;36
91;'2008-12-03 06:21:29';9175526;False;322;48
91;'2008-12-04 19:51:57';9310554;False;617;91
91;'2009-01-01 05:19:38';11677415;False;459;70
91;'2009-01-29 17:44:43';14141320;False;115;19
91;'2009-02-04 15:58:41';14653358;False;734;114
91;'2009-02-04 16:52:03';14656560;False;284;36
91;'2009-02-17 12:56:31';15765628;False;981;127
91;'2009-02-17 13:22:17';15767174;False;718;118
91;'2009-02-17 13:25:09';15767346;False;129;17
91;'2009-02-18 21:10:20';15881657;False;890;120
91;'2009-02-22 07:22:36';16177593;False;4398;513
91;'2009-04-20 03:26:55';21088252;False;88;15
91;'2009-05-12 03:47:42';22990299;False;125;21
91;'2009-06-03 14:32:26';24929783;False;1179;107
91;'2009-06-04 09:06:47';24996644;False;1202;209
91;'2009-06-11 20:10:28';25641265;False;905;138
91;'2009-06-22 01:17:28';26523685;False;196;30
91;'2009-06-22 02:46:05';26529002;False;1594;268
91;'2009-06-22 15:10:26';26573663;False;137;24
91;'2009-07-28 03:21:04';29641501;False;250;38
91;'2009-08-14 09:35:40';31132777;False;2444;299
91;'2009-08-20 10:06:32';31653029;False;77;17
91;'2009-11-04 15:00:01';38237038;False;1668;212
91;'2009-11-26 18:43:48';40151265;False;842;137
91;'2009-11-26 19:03:03';40152420;False;428;74
91;'2009-11-27 08:39:36';40201413;False;398;53
91;'2009-12-02 16:28:17';40661534;False;183;34
91;'2009-12-03 07:08:29';40714346;False;100;17
91;'2009-12-07 11:59:37';41077414;False;297;19
91;'2009-12-16 23:47:36';41897493;False;597;87
91;'2010-01-09 20:04:01';43957678;False;150;19
91;'2010-01-14 11:59:43';44360620;False;163;12
91;'2010-01-22 22:33:07';45089824;False;425;78
91;'2010-01-25 07:20:06';45294243;False;129;23
91;'2010-01-25 09:45:51';45302988;False;1941;259
91;'2010-02-19 05:29:42';47447619;False;107;18
91;'2010-03-03 15:17:48';48519705;False;1202;170
91;'2010-06-09 09:07:06';56964663;False;315;33
91;'2010-06-21 23:04:28';58051705;False;436;76
91;'2010-06-28 04:36:04';58590001;False;438;79
91;'2010-06-30 08:06:02';58775399;False;600;103
91;'2010-07-05 18:22:40';59244397;False;350;49
15;'2008-08-19 02:08:52';457;False;1098;198
15;'2008-08-19 02:14:21';786;False;1099;203
15;'2008-08-19 02:16:13';898;False;1567;262
15;'2008-08-19 02:18:53';1058;False;221;38
15;'2008-08-19 02:40:53';2378;False;58;11
15;'2008-08-19 03:05:46';3871;False;703;116
15;'2008-08-19 03:26:05';5090;False;426;77
15;'2008-08-19 10:37:01';30946;False;1141;208
15;'2008-08-20 15:01:17';133202;False;1892;327
15;'2008-08-20 15:59:56';136721;False;123;22
15;'2008-08-20 20:30:31';152956;False;160;28
15;'2008-08-22 04:16:31';267316;False;1675;289
15;'2008-08-26 09:26:48';631533;False;1165;198
15;'2008-08-26 09:37:06';632151;False;427;69
15;'2008-08-26 14:09:02';648467;False;1339;216
6;'2008-08-19 15:59:41';110;False;303;51
6;'2008-08-19 16:00:46';175;False;253;38
6;'2008-08-19 16:01:11';200;False;122;26
6;'2008-08-19 16:16:08';1097;False;557;111
6;'2008-08-19 16:18:23';1232;False;234;32
6;'2008-08-19 16:19:51';1320;True;269;50
3;'2008-08-19 17:49:45';142;False;225;39
3;'2008-08-19 17:50:47';204;True;433;65
3;'2008-08-19 17:54:41';438;False;245;34
3;'2008-08-20 20:02:48';171;True;753;123
3;'2013-04-27 04:11:02';147773465;False;789;95
3;'2014-05-05 15:05:42';180039945;False;119;19
4;'2008-08-21 19:01:33';89;False;70;15
4;'2008-08-21 19:46:32';2788;False;129;23
4;'2008-08-22 12:11:27';61883;True;262;47
4;'2009-03-14 13:46:54';17693210;False;235;34
6;'2008-08-25 20:37:35';1426;False;105;21
6;'2008-08-25 20:39:18';1529;False;355;71
6;'2008-08-26 10:08:09';50060;False;80;13
6;'2009-02-06 06:13:13';14205564;False;1423;226
6;'2012-02-24 07:41:49';110374080;False;130;24
6;'2012-12-02 05:53:38';134732389;False;215;36
7;'2008-08-25 23:30:42';2320;False;412;77
7;'2008-08-25 23:47:38';3336;False;1245;180
7;'2008-08-26 07:16:23';30261;True;391;61
7;'2008-08-26 12:32:05';49203;False;214;38
7;'2011-07-07 10:34:00';90330118;False;162;27
7;'2013-09-12 10:27:09';159276907;False;172;15
7;'2014-08-08 10:30:37';187789115;False;128;24
4;'2008-08-27 04:54:19';329;False;293;55
4;'2008-08-27 05:25:26';2196;False;473;82
4;'2008-08-27 05:36:15';2845;False;390;68
4;'2008-09-17 18:50:05';1864875;True;173;29
6;'2008-08-27 23:47:06';45;False;251;40
6;'2008-08-27 23:48:44';143;True;194;36
6;'2008-08-27 23:49:08';167;False;250;47
6;'2008-08-27 23:51:22';301;False;102;20
6;'2008-08-27 23:52:53';392;False;540;110
6;'2008-08-27 23:55:52';571;False;344;63
5;'2008-08-29 17:58:50';60;True;176;28
5;'2008-08-29 17:59:42';112;False;90;14
5;'2008-08-29 18:46:33';2923;False;263;41
5;'2008-08-29 18:57:57';3607;False;291;50
5;'2013-06-02 09:25:19';150132449;False;272;39
2;'2008-08-30 19:23:21';871;False;553;53
2;'2008-08-30 19:25:42';1012;True;1058;197
9;'2008-08-30 22:29:19';124;False;177;35
9;'2008-08-30 22:34:14';419;False;336;61
9;'2008-08-30 22:35:47';512;False;509;77
9;'2008-08-30 22:36:09';534;False;140;26
9;'2008-08-30 22:53:41';1586;True;538;81
9;'2008-08-31 01:07:04';9589;False;288;53
9;'2008-08-31 14:04:39';56244;False;788;136
9;'2008-09-04 14:53:27';404772;False;2271;384
9;'2008-09-04 15:12:21';405906;False;357;59
6;'2008-08-30 23:02:07';1515;False;1455;250
6;'2008-08-30 23:04:36';1664;False;51;9
6;'2008-08-30 23:11:30';2078;False;190;35
6;'2008-08-30 23:17:59';2467;False;1454;264
6;'2008-08-30 23:24:07';2835;False;953;172
6;'2008-09-02 09:37:49';212457;True;1049;185
6;'2008-08-31 04:06:54';565;False;489;83
6;'2008-08-31 09:21:23';19434;False;386;74
6;'2008-08-31 09:22:12';19483;False;1032;161
6;'2008-08-31 09:23:12';19543;True;1334;189
6;'2011-03-29 11:10:36';81241987;False;251;26
6;'2012-08-01 22:11:38';123704049;False;434;58
8;'2008-09-01 13:26:42';232;False;275;44
8;'2008-09-01 13:28:17';327;False;215;37
8;'2008-09-01 13:43:57';1267;False;631;106
8;'2008-09-01 13:46:15';1405;False;364;70
8;'2008-09-01 13:49:48';1618;False;893;157
8;'2008-09-01 13:50:03';1633;False;597;97
8;'2008-09-01 13:53:17';1827;False;1647;265
8;'2008-09-01 14:00:14';2244;False;435;76
3;'2008-09-01 17:45:22';676;False;142;22
3;'2008-09-01 17:52:38';1112;True;681;113
3;'2008-09-01 18:18:23';2657;False;223;37
6;'2008-09-02 19:01:09';273;False;221;37
6;'2008-09-02 19:06:00';564;True;223;38
6;'2008-09-02 19:13:49';1033;False;279;50
6;'2008-09-03 01:42:15';24339;False;1700;149
6;'2008-09-03 12:36:16';63580;False;402;64
6;'2008-10-12 23:06:16';3470980;False;1904;144
8;'2008-09-03 15:13:51';170;True;702;108
8;'2008-09-03 16:36:55';5154;False;107;23
8;'2008-09-04 00:48:06';34625;False;281;51
8;'2010-03-10 22:31:12';47805611;False;341;53
8;'2011-08-26 08:23:56';93892375;False;261;44
8;'2012-01-16 16:44:50';106277629;False;1149;126
8;'2012-08-20 01:35:24';124971863;False;933;105
8;'2012-10-20 13:56:14';130286713;False;43;2
9;'2008-09-04 12:21:32';527;False;254;36
9;'2008-09-04 12:21:48';543;False;225;39
9;'2008-09-04 12:22:07';562;True;152;24
9;'2008-09-04 12:23:08';623;False;371;59
9;'2008-09-04 12:35:08';1343;False;249;37
9;'2008-09-08 16:13:08';360023;False;523;79
9;'2012-02-10 09:19:33';108335208;False;205;28
9;'2013-05-17 07:25:53';148245188;False;594;79
9;'2013-07-13 04:54:40';153160915;False;101;21
7;'2008-09-04 15:03:23';168;False;1269;208
7;'2008-09-04 15:03:33';178;True;151;30
7;'2008-09-04 15:04:51';256;False;170;31
7;'2008-09-04 15:05:11';276;False;217;43
7;'2008-09-04 15:05:29';294;False;313;56
7;'2008-09-04 15:06:24';349;False;421;77
7;'2008-09-04 15:55:14';3279;False;431;73
4;'2008-09-04 21:04:43';1707;False;873;159
4;'2008-09-04 21:28:32';3136;True;263;46
4;'2008-09-05 01:45:10';18534;False;584;104
4;'2014-05-03 18:02:47';178579591;False;757;100
13;'2008-09-05 14:49:09';321;False;176;33
13;'2008-09-05 14:49:53';365;True;588;81
13;'2008-09-05 15:13:54';1806;False;504;86
13;'2010-02-12 20:40:50';45381422;False;2170;286
13;'2011-01-28 20:23:26';75620378;False;848;129
13;'2011-08-12 02:54:29';92491841;False;292;49
13;'2012-04-26 11:22:37';114813529;False;304;51
13;'2012-08-03 12:59:31';123372943;False;204;29
13;'2012-08-14 14:42:31';124329523;False;146;22
13;'2013-02-14 23:57:33';140260425;False;700;113
13;'2014-06-03 21:34:18';181205430;False;121;19
13;'2014-07-02 15:40:07';183689779;False;123;16
13;'2014-08-03 12:50:32';186444404;False;333;56
8;'2008-09-05 18:31:52';160;True;894;127
8;'2008-09-05 18:39:34';622;False;302;45
8;'2010-09-01 00:57:33';62663301;False;368;57
8;'2010-09-01 00:58:07';62663335;False;250;42
8;'2010-09-01 01:00:04';62663452;False;857;129
8;'2011-04-06 17:38:54';81472182;False;208;33
8;'2012-08-22 18:38:25';125021353;False;749;130
8;'2014-06-22 12:48:20';182801948;False;1602;284
11;'2008-09-08 00:54:09';35;False;429;66
11;'2008-09-08 01:08:16';882;False;137;29
11;'2008-09-08 02:20:13';5199;False;376;59
11;'2008-09-08 12:26:49';41595;False;298;53
11;'2008-09-08 12:33:54';42020;False;158;23
11;'2008-09-08 19:18:12';66278;False;131;8
11;'2008-09-08 19:51:37';68283;False;195;28
11;'2008-09-08 20:29:04';70530;True;1538;230
11;'2009-08-13 14:43:18';29339384;False;824;104
11;'2010-03-26 14:05:30';48777116;False;212;38
11;'2012-07-25 20:03:57';122411423;False;822;105
3;'2008-09-08 06:58:22';236;True;901;138
3;'2008-09-08 12:31:01';20195;False;209;29
3;'2008-09-19 17:32:01';988655;False;260;53
4;'2008-09-08 19:02:26';2397;False;91;12
4;'2008-09-08 19:14:19';3110;False;110;15
4;'2008-09-20 23:55:10';1056761;False;53;9
4;'2011-11-01 13:31:41';99256152;False;123;19
1;'2008-09-08 19:16:51';3123;True;1107;177
6;'2008-09-08 22:01:21';118;True;22;6
6;'2008-09-08 22:01:27';124;False;94;19
6;'2008-09-08 22:08:22';539;False;88;17
6;'2008-09-09 13:38:55';56372;False;357;54
6;'2011-10-12 03:10:40';97477877;False;175;31
6;'2011-12-10 21:54:28';102642905;False;450;77
3;'2008-09-09 08:32:22';2546;True;320;55
3;'2010-04-02 09:08:45';49252729;False;407;77
3;'2011-11-30 22:02:25';101743949;False;1773;288
9;'2008-09-09 17:13:12';180;True;85;15
9;'2008-09-09 17:14:15';243;False;227;39
9;'2008-09-09 17:14:57';285;False;148;21
9;'2008-09-09 17:17:40';448;False;110;18
9;'2008-09-09 17:22:47';755;False;186;34
9;'2008-09-09 17:31:15';1263;False;113;17
9;'2008-09-09 17:32:25';1333;False;900;164
9;'2008-10-17 15:56:51';3278799;False;29;7
9;'2010-07-01 20:28:40';57035908;False;390;51
3;'2008-09-09 19:37:17';263;False;63;13
3;'2008-09-09 19:38:10';316;True;95;17
3;'2008-09-09 19:39:41';407;False;373;72
5;'2008-09-10 06:07:50';2344;False;198;25
5;'2008-09-10 08:04:33';9347;True;149;18
5;'2008-09-10 16:47:45';40739;False;307;35
5;'2010-07-14 06:04:05';58062919;False;45;2
5;'2014-01-28 07:58:18';169871372;False;571;88
7;'2008-09-10 11:48:00';414;False;391;73
7;'2008-09-10 11:53:44';758;False;882;155
7;'2008-09-10 11:55:54';888;True;402;67
7;'2008-09-10 12:09:43';1717;False;299;46
7;'2008-09-10 12:36:44';3338;False;794;147
7;'2008-10-24 02:22:07';3768061;False;461;79
7;'2008-10-24 02:45:36';3769470;False;698;115
8;'2008-09-10 16:21:28';91;True;441;65
8;'2008-09-10 16:26:44';407;False;87;14
8;'2012-03-08 16:46:47';110161610;False;257;32
8;'2012-08-04 09:47:17';123010040;False;157;15
8;'2012-10-24 19:03:25';130041808;False;506;84
8;'2012-12-02 09:46:36';133377999;False;144;23
8;'2013-10-28 19:02:56';161923379;False;577;91
8;'2013-11-20 09:53:59';163877642;False;157;15
6;'2008-09-10 18:52:28';715;False;248;49
6;'2008-09-10 18:56:52';979;True;796;141
6;'2008-09-10 19:09:28';1735;False;844;145
6;'2008-09-10 19:15:34';2101;False;508;86
6;'2008-09-10 20:22:03';6090;False;431;68
6;'2008-09-15 18:02:17';429704;False;502;85
4;'2008-09-11 19:53:27';64;False;80;15
4;'2008-09-11 19:53:48';85;False;409;65
4;'2008-09-11 20:01:07';524;True;431;68
4;'2008-09-11 20:08:46';983;False;198;37
6;'2008-09-13 06:53:20';327;True;700;111
6;'2008-09-13 07:32:14';2661;False;428;65
6;'2008-09-15 09:40:51';183178;False;1723;120
6;'2009-01-23 18:40:22';11447549;False;861;143
6;'2009-03-19 18:27:36';16198783;False;710;102
6;'2009-03-19 19:01:28';16200815;False;187;36
1;'2008-09-14 01:30:59';4914;True;678;126
6;'2008-09-14 03:22:12';281;False;323;46
6;'2008-09-14 03:44:41';1630;False;878;133
6;'2008-09-14 04:39:28';4917;False;1303;212
6;'2008-09-14 04:42:56';5125;False;2204;367
6;'2008-09-14 06:48:45';12674;True;909;144
6;'2010-07-09 22:42:52';57353121;False;183;26
4;'2008-09-15 02:04:00';455;False;511;91
4;'2008-09-15 02:06:57';632;False;379;69
4;'2008-09-15 03:21:17';5092;True;728;128
4;'2008-09-15 16:45:16';53331;False;1041;173
5;'2008-09-15 13:52:24';154;False;155;9
5;'2008-09-15 13:53:49';239;False;104;19
5;'2008-09-15 13:59:24';574;False;351;63
5;'2008-09-15 14:55:59';3969;False;434;76
5;'2012-08-03 02:33:55';122474645;False;1309;192
11;'2008-09-15 16:48:07';181;False;118;12
11;'2008-09-15 16:48:28';202;True;86;9
11;'2008-09-15 16:49:53';287;False;175;19
11;'2008-09-15 16:50:11';305;False;205;28
11;'2008-09-15 16:51:02';356;False;337;50
11;'2008-09-15 16:54:58';592;False;201;32
11;'2008-09-15 16:55:31';625;False;311;31
11;'2008-09-15 17:02:48';1062;False;287;35
11;'2008-09-15 17:14:16';1750;False;235;35
11;'2008-09-16 14:26:23';78077;False;329;48
11;'2014-05-02 01:57:56';177498770;False;576;55
5;'2008-09-15 19:43:56';734;False;147;25
5;'2008-09-15 19:44:23';761;True;125;24
5;'2008-09-15 20:00:59';1757;False;244;34
5;'2008-09-15 20:07:39';2157;False;461;87
5;'2008-09-15 22:35:35';11033;False;369;64
3;'2008-09-15 20:23:44';352;False;119;19
3;'2008-09-15 20:25:24';452;True;387;41
3;'2008-09-15 20:45:40';1668;False;492;52
2;'2008-09-15 23:49:00';1824;True;1038;91
2;'2008-09-16 02:38:13';11977;False;648;103
6;'2008-09-16 06:26:37';1434;False;557;97
6;'2008-09-16 06:30:36';1673;False;642;100
6;'2008-09-16 06:33:57';1874;False;351;59
6;'2008-09-16 06:39:39';2216;False;429;53
6;'2008-09-16 06:47:33';2690;False;729;129
6;'2008-09-16 08:35:29';9166;True;1104;175
21;'2008-09-16 13:35:06';239;False;664;105
21;'2008-09-16 13:35:41';274;False;105;12
21;'2008-09-16 13:36:44';337;False;336;53
21;'2008-09-16 13:37:49';402;False;103;20
21;'2008-09-16 13:39:18';491;False;234;38
21;'2008-09-16 13:40:16';549;False;88;17
21;'2008-09-16 13:41:55';648;False;164;26
21;'2008-09-16 16:13:05';9718;True;775;135
21;'2008-09-16 18:25:13';17646;False;225;42
21;'2008-09-16 21:08:37';27450;False;422;67
21;'2008-09-16 23:38:11';36424;False;1039;194
21;'2008-09-17 05:13:21';56534;False;27;5
21;'2009-01-23 13:30:59';11145592;False;1752;280
21;'2009-09-24 14:31:54';32230847;False;166;26
21;'2010-10-10 23:38:17';65182030;False;49;10
21;'2010-10-11 02:59:14';65194087;False;652;118
21;'2010-10-14 15:52:28';65499681;False;568;86
21;'2010-12-01 08:03:13';69618726;False;100;17
21;'2010-12-01 08:31:20';69620413;False;158;30
21;'2011-07-25 12:42:37';90025890;False;623;123
21;'2011-11-29 13:02:03';100999856;False;17240;2883
12;'2008-09-16 14:02:01';107;False;283;52
12;'2008-09-16 14:05:25';311;False;706;125
12;'2008-09-16 14:06:52';398;False;612;110
12;'2008-09-16 14:07:37';443;False;868;121
12;'2008-09-16 14:08:46';512;False;426;80
12;'2008-09-16 14:09:47';573;False;293;49
12;'2008-09-16 14:13:53';819;True;659;112
12;'2008-09-16 14:22:23';1329;False;328;50
12;'2008-09-16 14:29:27';1753;False;976;152
12;'2008-09-16 14:43:59';2625;False;115;18
12;'2008-09-16 15:17:15';4621;False;617;91
12;'2008-09-16 15:29:25';5351;False;535;80
2;'2008-09-16 14:15:07';681;True;345;62
2;'2008-09-17 03:18:13';47667;False;143;25
1;'2008-09-16 18:46:45';11932;True;247;47
7;'2008-09-17 02:45:46';464;False;117;11
7;'2008-09-17 02:47:45';583;False;147;25
7;'2008-09-17 02:53:15';913;True;274;31
7;'2008-09-17 03:00:45';1363;False;227;33
7;'2008-09-17 03:14:44';2202;False;366;54
7;'2008-09-17 10:03:31';26729;False;161;21
7;'2008-09-19 16:28:51';222649;False;722;126
3;'2008-09-17 04:44:44';6611;False;825;141
3;'2008-09-18 17:35:31';139258;False;295;44
3;'2008-09-19 16:57:22';223369;False;388;74
4;'2008-09-17 16:25:23';57;False;116;16
4;'2008-09-17 16:25:51';85;False;127;25
4;'2008-09-17 16:26:54';148;True;88;18
4;'2008-09-17 16:30:30';364;False;434;63
2;'2008-09-17 17:21:54';309;True;577;88
2;'2008-09-17 18:12:18';3333;False;424;50
3;'2008-09-17 18:32:56';435;True;701;98
3;'2008-09-17 18:54:22';1721;False;465;55
3;'2012-03-06 16:35:11';109375770;False;379;42
11;'2008-09-18 03:57:43';130;False;201;34
11;'2008-09-18 03:58:58';205;False;60;6
11;'2008-09-18 04:00:11';278;False;31;4
11;'2008-09-18 04:00:35';302;False;559;85
11;'2008-09-18 04:02:31';418;False;52;10
11;'2008-09-18 04:24:34';1741;True;260;50
11;'2008-09-18 05:27:50';5537;False;368;69
11;'2008-09-22 19:04:15';400122;False;182;37
11;'2011-06-17 12:18:14';86602961;False;100;18
11;'2012-01-03 17:10:22';103900489;False;35;7
11;'2012-05-11 08:15:35';115014002;False;39;6
1;'2008-09-18 06:43:23';1441;True;731;127
4;'2008-09-18 09:40:00';512;False;149;28
4;'2008-09-18 09:43:38';730;False;409;64
4;'2008-09-18 09:44:07';759;True;607;112
4;'2009-11-16 14:48:43';36652635;False;567;102
5;'2008-09-18 09:42:03';555;False;232;34
5;'2008-09-18 09:42:41';593;True;672;95
5;'2008-09-18 09:45:02';734;False;181;25
5;'2008-09-18 11:15:48';6180;False;1061;173
5;'2013-03-08 09:11:02';141003494;False;311;29
6;'2008-09-18 11:18:59';169;False;190;40
6;'2008-09-18 11:19:47';217;True;850;154
6;'2008-09-18 11:19:51';221;False;192;30
6;'2008-09-18 11:20:13';243;False;191;30
6;'2008-09-18 11:33:12';1022;False;434;80
6;'2008-09-18 18:59:11';27781;False;411;69
4;'2008-09-18 14:44:48';147;True;112;17
4;'2008-09-18 14:47:18';297;False;637;102
4;'2008-09-18 17:43:12';10851;False;261;43
4;'2010-09-28 14:17:14';63934493;False;715;51
26;'2008-09-18 18:35:52';36;False;30;4
26;'2008-09-18 18:37:19';123;False;39;3
26;'2008-09-18 18:40:20';304;False;162;21
26;'2008-09-18 18:42:48';452;False;272;22